route_id,from_node_id,to_node_id,transport_mode,distance_km,base_cost_usd,fuel_sensitivity,capacity_units,transit_time_hours
R_00372,NODE_0138,NODE_0120,Sea,7181,880,0.18,6900,129
R_00373,NODE_0004,NODE_0090,Rail,8285,375,0.4,18941,144
R_00374,NODE_0161,NODE_0249,Rail,4211,1251,0.38,3563,109
R_00375,NODE_0050,NODE_0083,Truck,3630,620,0.55,5155,123
R_00376,NODE_0171,NODE_0133,Rail,6003,1247,0.33,10444,96
R_00377,NODE_0010,NODE_0210,Truck,5852,1491,0.64,8519,155
R_00378,NODE_0294,NODE_0275,Truck,4763,827,0.52,18726,132
R_00379,NODE_0228,NODE_0040,Rail,10154,686,0.32,6746,230
R_00380,NODE_0085,NODE_0172,Rail,10442,1354,0.34,4337,28
R_00381,NODE_0082,NODE_0175,Truck,5236,748,0.58,10764,162
R_00382,NODE_0202,NODE_0138,Rail,6050,1302,0.33,16755,113
R_00383,NODE_0085,NODE_0094,Truck,2148,580,0.58,4623,61
R_00384,NODE_0085,NODE_0203,Truck,1665,230,0.64,17505,148
R_00385,NODE_0027,NODE_0013,Rail,8684,270,0.27,7088,29
R_00386,NODE_0199,NODE_0158,Truck,4153,681,0.54,6142,41
R_00387,NODE_0269,NODE_0087,Truck,675,1458,0.52,12656,229
R_00388,NODE_0243,NODE_0239,Sea,4563,1223,0.22,19671,53
R_00389,NODE_0233,NODE_0288,Rail,8676,1410,0.35,12146,240
R_00390,NODE_0177,NODE_0246,Sea,3821,283,0.22,13985,113
R_00391,NODE_0133,NODE_0079,Rail,272,100,0.33,6466,96
R_00392,NODE_0146,NODE_0240,Sea,236,1107,0.29,17632,84
R_00393,NODE_0004,NODE_0220,Rail,9881,573,0.37,19963,103
R_00394,NODE_0096,NODE_0210,Sea,7261,908,0.19,14770,220
R_00395,NODE_0193,NODE_0112,Rail,1397,964,0.34,18928,203
R_00396,NODE_0139,NODE_0145,Sea,8815,650,0.21,4243,54
R_00397,NODE_0069,NODE_0148,Truck,10534,1032,0.57,10917,187
R_00398,NODE_0251,NODE_0096,Rail,417,411,0.26,19529,13
R_00399,NODE_0095,NODE_0052,Rail,4510,356,0.36,2268,67
R_00400,NODE_0046,NODE_0077,Truck,8186,544,0.52,12209,209
R_00401,NODE_0255,NODE_0190,Rail,11518,164,0.3,6787,22
R_00402,NODE_0136,NODE_0200,Truck,8999,1062,0.49,10194,217
R_00403,NODE_0195,NODE_0006,Truck,11809,609,0.53,16514,71
R_00404,NODE_0017,NODE_0101,Rail,1639,1167,0.35,8830,129
R_00405,NODE_0199,NODE_0159,Rail,2698,1388,0.36,19069,39
R_00406,NODE_0129,NODE_0246,Sea,4995,506,0.2,3706,229
R_00407,NODE_0111,NODE_0057,Truck,10469,989,0.51,7484,211
R_00408,NODE_0141,NODE_0299,Truck,6584,597,0.45,3376,156
R_00409,NODE_0243,NODE_0079,Rail,1566,609,0.27,4995,183
R_00410,NODE_0173,NODE_0030,Truck,5924,1420,0.48,19575,210
R_00411,NODE_0054,NODE_0064,Rail,3912,748,0.4,13380,214
R_00412,NODE_0224,NODE_0098,Truck,11392,873,0.52,6414,72
R_00413,NODE_0020,NODE_0248,Sea,7268,1244,0.19,18059,56
R_00414,NODE_0290,NODE_0095,Sea,5796,762,0.26,11021,230
R_00415,NODE_0283,NODE_0082,Truck,8802,417,0.54,10629,146
R_00416,NODE_0187,NODE_0232,Truck,10553,1136,0.53,8079,234
R_00417,NODE_0009,NODE_0186,Sea,4012,756,0.26,19660,217
R_00418,NODE_0198,NODE_0097,Sea,11293,1118,0.26,7050,164
R_00419,NODE_0144,NODE_0165,Rail,10600,759,0.27,19144,176
R_00420,NODE_0034,NODE_0022,Truck,3026,164,0.49,17904,57
R_00421,NODE_0050,NODE_0016,Sea,10614,895,0.25,19230,167
R_00422,NODE_0131,NODE_0025,Rail,3716,1340,0.36,2428,61
R_00423,NODE_0251,NODE_0040,Rail,10568,224,0.3,15629,218
R_00424,NODE_0188,NODE_0029,Sea,4455,1183,0.16,4306,221
R_00425,NODE_0155,NODE_0039,Truck,8611,298,0.47,9569,144
R_00426,NODE_0197,NODE_0097,Truck,8721,1445,0.5,7862,150
R_00427,NODE_0285,NODE_0212,Sea,1828,1407,0.24,17031,187
R_00428,NODE_0218,NODE_0053,Truck,3055,1226,0.53,13059,176
R_00429,NODE_0080,NODE_0273,Sea,7358,821,0.29,12638,224
R_00430,NODE_0190,NODE_0211,Sea,7154,762,0.24,19879,62
R_00431,NODE_0192,NODE_0281,Sea,4262,837,0.29,16663,109
R_00432,NODE_0000,NODE_0017,Rail,9860,133,0.33,11890,9
R_00433,NODE_0153,NODE_0113,Truck,5259,144,0.6,11042,149
R_00434,NODE_0261,NODE_0284,Sea,9465,416,0.16,17085,99
R_00435,NODE_0079,NODE_0070,Rail,6114,1292,0.29,10396,215
R_00436,NODE_0153,NODE_0047,Sea,6650,1265,0.29,4529,193
R_00437,NODE_0166,NODE_0247,Truck,8099,1280,0.61,5124,160
R_00438,NODE_0153,NODE_0019,Sea,9541,881,0.16,3832,205
R_00439,NODE_0171,NODE_0178,Rail,6924,346,0.38,9429,199
R_00440,NODE_0005,NODE_0195,Truck,5093,1173,0.46,19692,152
R_00441,NODE_0076,NODE_0167,Sea,11532,552,0.17,14873,122
R_00442,NODE_0294,NODE_0258,Truck,3738,984,0.51,14921,45
R_00443,NODE_0067,NODE_0172,Truck,7896,1270,0.6,19961,110
R_00444,NODE_0134,NODE_0043,Rail,8321,989,0.37,6272,203
R_00445,NODE_0069,NODE_0246,Sea,3345,1099,0.21,8425,151
R_00446,NODE_0268,NODE_0126,Truck,1273,645,0.61,12597,183
R_00447,NODE_0294,NODE_0045,Truck,11105,947,0.53,13413,56
R_00448,NODE_0164,NODE_0176,Sea,10838,149,0.27,7546,97
R_00449,NODE_0226,NODE_0074,Rail,835,578,0.28,14249,47
R_00450,NODE_0043,NODE_0057,Sea,993,597,0.29,6839,230
R_00451,NODE_0147,NODE_0007,Rail,11467,327,0.3,17439,13
R_00452,NODE_0169,NODE_0107,Sea,8914,533,0.18,19146,200
R_00453,NODE_0132,NODE_0280,Rail,10307,389,0.35,2602,104
R_00454,NODE_0298,NODE_0269,Truck,4285,448,0.46,8576,210
R_00455,NODE_0138,NODE_0027,Rail,10827,117,0.26,10890,177
R_00456,NODE_0184,NODE_0055,Truck,4892,1429,0.53,14474,138
R_00457,NODE_0050,NODE_0161,Rail,9882,1188,0.26,8516,136
R_00458,NODE_0234,NODE_0287,Sea,452,181,0.19,19347,86
R_00459,NODE_0170,NODE_0250,Rail,2672,137,0.3,13531,98
R_00460,NODE_0154,NODE_0120,Sea,4619,226,0.24,14686,235
R_00461,NODE_0015,NODE_0284,Rail,3795,410,0.3,14872,176
R_00462,NODE_0070,NODE_0044,Sea,6362,1166,0.29,9452,114
R_00463,NODE_0123,NODE_0293,Truck,7087,739,0.63,12790,122
R_00464,NODE_0277,NODE_0067,Truck,10790,383,0.57,8629,228
R_00465,NODE_0070,NODE_0158,Sea,11652,1172,0.29,16092,240
R_00466,NODE_0074,NODE_0289,Truck,5301,238,0.56,5879,55
R_00467,NODE_0162,NODE_0074,Sea,583,752,0.28,15567,113
R_00468,NODE_0155,NODE_0226,Sea,10534,660,0.17,8158,35
R_00469,NODE_0067,NODE_0094,Truck,10126,1363,0.5,9566,160
R_00470,NODE_0118,NODE_0013,Rail,1402,1076,0.27,17360,190
R_00471,NODE_0191,NODE_0094,Rail,8151,1070,0.27,8332,65
R_00472,NODE_0016,NODE_0209,Truck,4521,945,0.49,8646,201
R_00473,NODE_0104,NODE_0033,Truck,7297,1363,0.55,12646,229
R_00474,NODE_0234,NODE_0126,Rail,6733,185,0.34,14464,192
R_00475,NODE_0160,NODE_0201,Sea,9470,1316,0.23,3261,141
R_00476,NODE_0055,NODE_0231,Rail,794,603,0.33,14963,196
R_00477,NODE_0020,NODE_0285,Rail,8556,1391,0.39,8221,82
R_00478,NODE_0225,NODE_0203,Rail,4784,1044,0.27,11647,164
R_00479,NODE_0027,NODE_0264,Truck,7695,1423,0.54,18405,36
R_00480,NODE_0092,NODE_0299,Sea,9052,377,0.21,12599,123
R_00481,NODE_0012,NODE_0091,Rail,9771,513,0.38,4955,72
R_00482,NODE_0165,NODE_0083,Sea,2124,286,0.17,16725,170
R_00483,NODE_0185,NODE_0043,Sea,11688,886,0.26,18766,164
R_00484,NODE_0081,NODE_0193,Sea,6335,189,0.27,12983,152
R_00485,NODE_0076,NODE_0083,Truck,3030,205,0.53,12142,194
R_00486,NODE_0228,NODE_0147,Sea,3060,340,0.28,8647,8
R_00487,NODE_0129,NODE_0006,Rail,8253,1121,0.33,2188,163
R_00488,NODE_0252,NODE_0121,Truck,9747,1450,0.55,15439,121
R_00489,NODE_0040,NODE_0003,Truck,9067,669,0.57,8803,20
R_00490,NODE_0094,NODE_0075,Truck,10803,814,0.46,3062,178
R_00491,NODE_0295,NODE_0152,Rail,1536,200,0.27,7840,49
R_00492,NODE_0145,NODE_0293,Sea,3006,1032,0.26,13802,17
R_00493,NODE_0047,NODE_0153,Rail,6138,876,0.37,16002,223
R_00494,NODE_0281,NODE_0033,Rail,7813,375,0.27,10992,92
R_00495,NODE_0269,NODE_0211,Sea,3538,528,0.24,5581,154
R_00496,NODE_0270,NODE_0044,Rail,11963,1338,0.39,11410,117
R_00497,NODE_0162,NODE_0132,Sea,9523,1376,0.2,6250,165
R_00498,NODE_0288,NODE_0254,Sea,10452,1119,0.22,7895,234
R_00499,NODE_0119,NODE_0148,Truck,125,342,0.45,5864,196
R_00500,NODE_0106,NODE_0212,Rail,845,783,0.3,8957,10
R_00501,NODE_0103,NODE_0144,Rail,1211,730,0.3,12614,204
R_00502,NODE_0003,NODE_0058,Sea,5560,799,0.21,2954,221
R_00503,NODE_0089,NODE_0099,Rail,5636,1477,0.32,17548,212
R_00504,NODE_0018,NODE_0069,Rail,2645,1384,0.32,19595,237
R_00505,NODE_0171,NODE_0236,Rail,1017,1167,0.29,12338,150
R_00506,NODE_0274,NODE_0009,Truck,9560,779,0.61,13586,24
R_00507,NODE_0076,NODE_0143,Truck,5656,868,0.58,7438,154
R_00508,NODE_0199,NODE_0095,Sea,2014,731,0.26,12305,189
R_00509,NODE_0016,NODE_0139,Rail,1522,1117,0.38,14176,123
R_00510,NODE_0154,NODE_0110,Sea,5053,458,0.17,3225,207
R_00511,NODE_0103,NODE_0047,Rail,8390,151,0.37,18385,47
R_00512,NODE_0097,NODE_0174,Rail,8679,735,0.37,6695,204
R_00513,NODE_0050,NODE_0264,Sea,2274,520,0.26,17052,107
R_00514,NODE_0267,NODE_0059,Truck,5195,190,0.59,4853,93
R_00515,NODE_0239,NODE_0023,Truck,8629,1449,0.6,2736,155
R_00516,NODE_0159,NODE_0107,Rail,3385,494,0.29,19441,89
R_00517,NODE_0225,NODE_0060,Rail,2546,422,0.29,2499,167
R_00518,NODE_0286,NODE_0263,Truck,3484,1211,0.52,12436,77
R_00519,NODE_0072,NODE_0145,Sea,4111,450,0.16,13099,146
R_00520,NODE_0227,NODE_0025,Truck,575,1064,0.63,3653,35
R_00521,NODE_0196,NODE_0027,Truck,7087,902,0.49,16609,165
R_00522,NODE_0182,NODE_0159,Rail,3346,1473,0.37,4573,201
R_00523,NODE_0238,NODE_0290,Truck,1622,1059,0.47,12170,183
R_00524,NODE_0238,NODE_0240,Truck,3766,394,0.62,10455,101
R_00525,NODE_0200,NODE_0093,Sea,10998,776,0.27,12641,124
R_00526,NODE_0249,NODE_0015,Truck,7887,331,0.52,17113,224
R_00527,NODE_0087,NODE_0144,Rail,10003,1276,0.27,5372,111
R_00528,NODE_0054,NODE_0166,Sea,10740,245,0.27,19457,126
R_00529,NODE_0205,NODE_0211,Truck,10272,599,0.56,17806,106
R_00530,NODE_0033,NODE_0174,Truck,11471,1310,0.54,16265,153
R_00531,NODE_0175,NODE_0278,Sea,3969,454,0.25,4552,197
R_00532,NODE_0293,NODE_0249,Truck,9802,1320,0.54,5199,218
R_00533,NODE_0227,NODE_0090,Rail,6748,242,0.34,14416,91
R_00534,NODE_0253,NODE_0031,Truck,3665,384,0.63,2006,201
R_00535,NODE_0075,NODE_0076,Rail,8804,696,0.31,16652,58
R_00536,NODE_0105,NODE_0162,Rail,9443,1491,0.3,16245,191
R_00537,NODE_0176,NODE_0045,Sea,233,1352,0.3,15244,224
R_00538,NODE_0065,NODE_0150,Truck,6149,1224,0.64,2027,188
R_00539,NODE_0286,NODE_0183,Truck,4723,163,0.5,14919,168
R_00540,NODE_0162,NODE_0195,Rail,6351,991,0.33,7682,129
R_00541,NODE_0071,NODE_0096,Sea,6401,837,0.28,7055,81
R_00542,NODE_0064,NODE_0068,Truck,1275,1427,0.45,17948,176
R_00543,NODE_0223,NODE_0069,Truck,2348,1415,0.61,16943,236
R_00544,NODE_0217,NODE_0092,Rail,8446,968,0.33,16747,106
R_00545,NODE_0181,NODE_0115,Truck,7059,1338,0.45,18323,224
R_00546,NODE_0121,NODE_0256,Rail,6831,1218,0.34,3096,17
R_00547,NODE_0290,NODE_0247,Sea,6138,331,0.24,4623,44
R_00548,NODE_0269,NODE_0143,Rail,8569,260,0.33,4898,70
R_00549,NODE_0241,NODE_0039,Sea,10482,1204,0.27,12239,164
R_00550,NODE_0027,NODE_0175,Sea,276,1060,0.22,17375,154
R_00551,NODE_0169,NODE_0215,Rail,4927,692,0.28,11963,194
R_00552,NODE_0288,NODE_0133,Truck,10410,1069,0.57,3691,176
R_00553,NODE_0149,NODE_0013,Rail,8042,268,0.27,4518,225
R_00554,NODE_0142,NODE_0129,Truck,10189,675,0.51,10419,11
R_00555,NODE_0057,NODE_0089,Sea,2576,1449,0.22,7747,74
R_00556,NODE_0120,NODE_0248,Truck,8740,167,0.52,4765,45
R_00557,NODE_0078,NODE_0253,Rail,6377,587,0.35,7481,61
R_00558,NODE_0295,NODE_0176,Truck,10622,641,0.6,5800,21
R_00559,NODE_0085,NODE_0237,Rail,7902,717,0.32,19449,67
R_00560,NODE_0194,NODE_0199,Rail,4402,397,0.33,16245,11
R_00561,NODE_0147,NODE_0229,Rail,11216,746,0.39,3344,32
R_00562,NODE_0272,NODE_0181,Rail,10102,1435,0.38,12976,77
R_00563,NODE_0136,NODE_0050,Rail,10820,1296,0.31,9923,195
R_00564,NODE_0099,NODE_0266,Rail,11203,468,0.3,2346,180
R_00565,NODE_0004,NODE_0034,Truck,6837,300,0.56,16612,97
R_00566,NODE_0112,NODE_0145,Rail,3263,169,0.25,5012,22
R_00567,NODE_0111,NODE_0062,Sea,2065,276,0.28,6256,104
R_00568,NODE_0289,NODE_0094,Truck,11497,477,0.5,17301,177
R_00569,NODE_0038,NODE_0232,Rail,7095,1467,0.37,12597,73
R_00570,NODE_0082,NODE_0037,Rail,1122,883,0.31,3968,74
R_00571,NODE_0135,NODE_0091,Rail,1237,1107,0.4,8575,164
R_00572,NODE_0201,NODE_0091,Sea,8161,322,0.17,16131,63
R_00573,NODE_0054,NODE_0226,Sea,4343,311,0.16,4307,154
R_00574,NODE_0128,NODE_0228,Truck,8254,404,0.58,2028,17
R_00575,NODE_0199,NODE_0136,Truck,11569,775,0.63,2121,139
R_00576,NODE_0251,NODE_0244,Rail,6717,243,0.33,2108,106
R_00577,NODE_0246,NODE_0062,Sea,8870,835,0.2,11923,110
R_00578,NODE_0028,NODE_0046,Rail,8859,796,0.26,17061,202
R_00579,NODE_0148,NODE_0103,Truck,9184,180,0.64,8258,84
R_00580,NODE_0199,NODE_0054,Sea,11385,835,0.22,16351,196
R_00581,NODE_0097,NODE_0071,Truck,3263,151,0.59,9814,133
R_00582,NODE_0199,NODE_0032,Sea,10641,730,0.22,16722,12
R_00583,NODE_0018,NODE_0173,Truck,5633,187,0.53,8936,214
R_00584,NODE_0267,NODE_0234,Sea,8891,405,0.26,9634,26
R_00585,NODE_0018,NODE_0072,Rail,10812,139,0.32,3500,70
R_00586,NODE_0066,NODE_0007,Truck,10465,202,0.63,5188,124
R_00587,NODE_0087,NODE_0032,Truck,1970,1118,0.57,9227,24
R_00588,NODE_0103,NODE_0218,Rail,11214,923,0.3,19887,43
R_00589,NODE_0164,NODE_0109,Truck,9817,455,0.52,5956,78
R_00590,NODE_0072,NODE_0212,Truck,11508,857,0.56,16374,70
R_00591,NODE_0297,NODE_0020,Truck,1737,1394,0.57,7169,12
R_00592,NODE_0249,NODE_0041,Truck,218,467,0.64,11297,114
R_00593,NODE_0243,NODE_0064,Truck,2444,1410,0.5,16759,113
R_00594,NODE_0122,NODE_0089,Sea,11432,177,0.24,18380,164
R_00595,NODE_0045,NODE_0154,Rail,6961,109,0.33,8288,38
R_00596,NODE_0271,NODE_0048,Sea,6029,1205,0.23,17211,205
R_00597,NODE_0106,NODE_0141,Truck,3273,330,0.61,17545,135
R_00598,NODE_0090,NODE_0081,Sea,806,210,0.25,11340,61
R_00599,NODE_0222,NODE_0128,Rail,10205,1028,0.26,3718,145
R_00600,NODE_0090,NODE_0080,Truck,8047,1154,0.47,9710,192
R_00601,NODE_0227,NODE_0296,Rail,6965,507,0.36,12672,66
R_00602,NODE_0056,NODE_0166,Truck,1706,585,0.6,8552,104
R_00603,NODE_0112,NODE_0037,Rail,9686,1092,0.26,16282,45
R_00604,NODE_0110,NODE_0232,Truck,6446,864,0.48,8362,169
R_00605,NODE_0183,NODE_0138,Truck,5603,360,0.46,3954,79
R_00606,NODE_0069,NODE_0056,Rail,7613,956,0.28,13258,64
R_00607,NODE_0151,NODE_0080,Sea,10119,448,0.24,9526,30
R_00608,NODE_0210,NODE_0267,Rail,3646,1311,0.32,17163,79
R_00609,NODE_0007,NODE_0219,Sea,4141,607,0.2,9287,236
R_00610,NODE_0076,NODE_0293,Truck,6944,190,0.46,17422,195
R_00611,NODE_0258,NODE_0017,Rail,8801,907,0.32,5211,123
R_00612,NODE_0253,NODE_0123,Truck,9250,125,0.59,15324,63
R_00613,NODE_0067,NODE_0183,Rail,4016,1426,0.4,2521,130
R_00614,NODE_0156,NODE_0082,Sea,7624,1268,0.26,2799,124
R_00615,NODE_0237,NODE_0070,Sea,6741,478,0.27,14137,168
R_00616,NODE_0237,NODE_0000,Sea,1258,888,0.28,12908,143
R_00617,NODE_0016,NODE_0151,Rail,4520,1354,0.33,8787,209
R_00618,NODE_0041,NODE_0171,Sea,998,1154,0.29,13927,235
R_00619,NODE_0026,NODE_0056,Rail,6089,1053,0.34,13979,101
R_00620,NODE_0089,NODE_0286,Sea,1197,1248,0.26,8708,43
R_00621,NODE_0171,NODE_0122,Sea,1960,1429,0.22,8874,200
R_00622,NODE_0115,NODE_0164,Rail,4480,1131,0.35,11081,21
R_00623,NODE_0032,NODE_0190,Rail,7512,1095,0.33,6020,128
R_00624,NODE_0272,NODE_0149,Rail,10273,853,0.37,4150,56
R_00625,NODE_0234,NODE_0044,Truck,6500,466,0.51,4521,35
R_00626,NODE_0084,NODE_0141,Truck,11520,403,0.55,8693,141
R_00627,NODE_0011,NODE_0150,Rail,11280,1208,0.39,17528,96
R_00628,NODE_0215,NODE_0227,Sea,10662,143,0.19,4062,13
R_00629,NODE_0118,NODE_0266,Sea,5603,943,0.24,12692,132
R_00630,NODE_0271,NODE_0280,Rail,7603,722,0.34,12043,51
R_00631,NODE_0133,NODE_0116,Rail,6193,690,0.37,3550,45
R_00632,NODE_0180,NODE_0145,Rail,2825,1366,0.39,19541,81
R_00633,NODE_0093,NODE_0089,Sea,11451,1464,0.27,7283,68
R_00634,NODE_0059,NODE_0021,Rail,9513,359,0.32,14113,55
R_00635,NODE_0105,NODE_0287,Sea,668,1463,0.2,13267,45
R_00636,NODE_0190,NODE_0229,Sea,2763,1192,0.2,2816,111
R_00637,NODE_0255,NODE_0074,Rail,5346,419,0.25,19896,137
R_00638,NODE_0169,NODE_0151,Rail,4848,1274,0.35,16486,94
R_00639,NODE_0057,NODE_0245,Truck,2384,1488,0.56,12095,14
R_00640,NODE_0205,NODE_0112,Rail,5955,289,0.3,8394,157
R_00641,NODE_0269,NODE_0113,Rail,3306,146,0.26,16596,181
R_00642,NODE_0044,NODE_0262,Rail,3285,1104,0.3,18762,22
R_00643,NODE_0184,NODE_0203,Truck,11830,975,0.52,14216,11
R_00644,NODE_0145,NODE_0176,Rail,5147,1012,0.38,4870,63
R_00645,NODE_0227,NODE_0212,Rail,4828,435,0.37,15888,194
R_00646,NODE_0212,NODE_0071,Sea,9896,276,0.17,11936,129
R_00647,NODE_0268,NODE_0171,Truck,9777,869,0.47,15417,171
R_00648,NODE_0139,NODE_0212,Truck,9206,1046,0.59,6486,59
R_00649,NODE_0095,NODE_0195,Rail,9174,1104,0.26,11895,221
R_00650,NODE_0299,NODE_0155,Rail,9263,1049,0.28,2080,47
R_00651,NODE_0134,NODE_0153,Sea,10529,1067,0.17,11426,114
R_00652,NODE_0091,NODE_0251,Sea,10664,601,0.15,11083,134
R_00653,NODE_0034,NODE_0185,Sea,7972,1258,0.22,10451,168
R_00654,NODE_0243,NODE_0061,Rail,8497,1278,0.25,10504,49
R_00655,NODE_0297,NODE_0029,Truck,5337,1044,0.63,6439,99
R_00656,NODE_0083,NODE_0027,Rail,6017,959,0.35,13664,20
R_00657,NODE_0148,NODE_0149,Sea,10568,257,0.23,8004,203
R_00658,NODE_0048,NODE_0085,Sea,5385,747,0.27,11865,77
R_00659,NODE_0185,NODE_0049,Sea,9603,820,0.27,2422,43
R_00660,NODE_0265,NODE_0144,Rail,8044,943,0.3,7342,34
R_00661,NODE_0111,NODE_0079,Sea,3722,485,0.27,19224,224
R_00662,NODE_0272,NODE_0282,Sea,1967,954,0.22,4503,37
R_00663,NODE_0067,NODE_0008,Rail,5805,738,0.35,6555,217
R_00664,NODE_0226,NODE_0267,Rail,2921,723,0.25,5886,64
R_00665,NODE_0065,NODE_0072,Sea,3812,729,0.17,6266,28
R_00666,NODE_0217,NODE_0057,Truck,408,1091,0.6,3393,58
R_00667,NODE_0055,NODE_0016,Sea,8512,1314,0.16,5896,240
R_00668,NODE_0129,NODE_0022,Truck,5042,1467,0.45,5162,208
R_00669,NODE_0063,NODE_0105,Sea,3377,478,0.25,2958,31
R_00670,NODE_0074,NODE_0142,Sea,5798,821,0.17,18404,207
R_00671,NODE_0123,NODE_0258,Sea,1219,302,0.27,2458,143
R_00672,NODE_0111,NODE_0098,Rail,2914,1200,0.25,5233,62
R_00673,NODE_0258,NODE_0243,Rail,11538,1307,0.28,5516,54
R_00674,NODE_0181,NODE_0194,Rail,3610,1153,0.28,5697,202
R_00675,NODE_0160,NODE_0063,Rail,1907,1164,0.27,13837,188
R_00676,NODE_0147,NODE_0285,Sea,765,268,0.2,5791,106
R_00677,NODE_0145,NODE_0233,Sea,5211,1009,0.18,15345,82
R_00678,NODE_0219,NODE_0096,Truck,7893,1490,0.52,2418,180
R_00679,NODE_0251,NODE_0053,Rail,7277,1170,0.35,4785,38
R_00680,NODE_0073,NODE_0202,Rail,11487,1309,0.4,7528,24
R_00681,NODE_0186,NODE_0101,Rail,3381,1318,0.38,15247,39
R_00682,NODE_0119,NODE_0217,Sea,8277,670,0.26,10944,201
R_00683,NODE_0204,NODE_0182,Rail,11022,1335,0.39,17877,138
R_00684,NODE_0142,NODE_0075,Rail,1870,350,0.29,18294,67
R_00685,NODE_0068,NODE_0015,Truck,965,239,0.55,2876,53
R_00686,NODE_0195,NODE_0167,Truck,5060,1373,0.57,4507,177
R_00687,NODE_0266,NODE_0252,Rail,3408,701,0.35,18064,137
R_00688,NODE_0133,NODE_0277,Rail,8956,1219,0.25,3035,118
R_00689,NODE_0060,NODE_0196,Rail,5253,870,0.32,3179,16
R_00690,NODE_0090,NODE_0285,Sea,5065,436,0.22,6406,87
R_00691,NODE_0199,NODE_0249,Truck,9420,1482,0.55,19674,154
R_00692,NODE_0240,NODE_0243,Sea,2660,1137,0.16,10630,134
R_00693,NODE_0193,NODE_0180,Rail,5350,225,0.25,3478,40
R_00694,NODE_0187,NODE_0178,Sea,9667,155,0.26,13182,105
R_00695,NODE_0049,NODE_0219,Rail,5955,943,0.3,10002,71
R_00696,NODE_0120,NODE_0159,Sea,1491,234,0.28,5750,94
R_00697,NODE_0086,NODE_0010,Sea,5443,176,0.22,15843,153
R_00698,NODE_0263,NODE_0215,Rail,434,1061,0.34,12371,104
R_00699,NODE_0292,NODE_0199,Rail,9480,300,0.37,5278,184
R_00700,NODE_0105,NODE_0172,Rail,8337,1466,0.3,11814,101
R_00701,NODE_0223,NODE_0103,Rail,10511,254,0.38,19558,62
R_00702,NODE_0147,NODE_0135,Truck,4971,1274,0.53,9401,167
R_00703,NODE_0047,NODE_0296,Truck,9797,789,0.5,19401,129
R_00704,NODE_0218,NODE_0107,Rail,1356,1434,0.37,18536,213
R_00705,NODE_0153,NODE_0221,Sea,8946,741,0.18,15182,72
R_00706,NODE_0263,NODE_0232,Sea,9071,469,0.28,18915,228
R_00707,NODE_0095,NODE_0295,Rail,3589,1453,0.39,17312,76
R_00708,NODE_0272,NODE_0222,Sea,10368,222,0.23,13936,126
R_00709,NODE_0075,NODE_0123,Truck,11328,714,0.62,15443,89
R_00710,NODE_0032,NODE_0104,Rail,4473,687,0.35,10403,183
R_00711,NODE_0120,NODE_0207,Truck,1960,407,0.49,10047,212
R_00712,NODE_0158,NODE_0237,Rail,9272,993,0.31,3212,59
R_00713,NODE_0081,NODE_0139,Truck,577,629,0.61,11102,176
R_00714,NODE_0281,NODE_0090,Sea,791,1095,0.27,3812,228
R_00715,NODE_0042,NODE_0160,Sea,4982,230,0.29,15336,237
R_00716,NODE_0186,NODE_0046,Rail,11965,387,0.29,18392,38
R_00717,NODE_0267,NODE_0297,Sea,4225,1116,0.28,9801,161
R_00718,NODE_0062,NODE_0160,Rail,9673,898,0.37,9731,116
R_00719,NODE_0111,NODE_0073,Truck,2969,538,0.64,16400,112
R_00720,NODE_0130,NODE_0028,Rail,8840,867,0.35,5701,89
R_00721,NODE_0279,NODE_0216,Rail,11285,604,0.39,6748,100
R_00722,NODE_0243,NODE_0188,Rail,445,1421,0.4,3140,223
R_00723,NODE_0027,NODE_0122,Rail,9155,887,0.3,13890,239
R_00724,NODE_0062,NODE_0273,Truck,7348,895,0.45,14877,73
R_00725,NODE_0154,NODE_0046,Truck,4972,530,0.62,7250,120
R_00726,NODE_0162,NODE_0208,Truck,4589,264,0.61,18111,128
R_00727,NODE_0211,NODE_0170,Sea,7020,305,0.27,10551,137
R_00728,NODE_0033,NODE_0180,Rail,9965,1221,0.36,16852,185
R_00729,NODE_0014,NODE_0026,Sea,10611,476,0.24,6459,8
R_00730,NODE_0205,NODE_0102,Sea,5106,742,0.24,5631,48
R_00731,NODE_0127,NODE_0264,Sea,10736,366,0.28,15445,210
R_00732,NODE_0163,NODE_0231,Rail,2287,633,0.28,12734,212
R_00733,NODE_0144,NODE_0101,Truck,6891,852,0.49,14364,221
R_00734,NODE_0292,NODE_0114,Truck,476,1243,0.58,9494,240
R_00735,NODE_0045,NODE_0236,Truck,4389,445,0.46,16054,161
R_00736,NODE_0133,NODE_0076,Truck,6128,448,0.64,5845,11
R_00737,NODE_0269,NODE_0222,Rail,11136,1112,0.27,8656,56
R_00738,NODE_0136,NODE_0147,Sea,8196,882,0.17,8770,161
R_00739,NODE_0110,NODE_0144,Sea,11195,487,0.21,15386,210
R_00740,NODE_0074,NODE_0014,Rail,4389,582,0.34,10136,102
R_00741,NODE_0298,NODE_0234,Truck,269,1060,0.48,12592,185
R_00742,NODE_0203,NODE_0108,Sea,6383,966,0.26,10396,26
R_00743,NODE_0048,NODE_0285,Truck,953,781,0.64,17431,240
R_00744,NODE_0181,NODE_0023,Truck,4255,1133,0.57,11912,109
